siteid,code,status,name,site_type
02W4GMXUHCZ25,THSONRS,ACTIVE,SON Reefer Services Company Limited,DEPOT
1790669640429,USPJW30P,INACTIVE,Exel Portage 00233,CUSTOMER LOCATION
0700769089489,GBPLY30P,ACTIVE,Rittal Csm Ltd,DEPOT
5960668304917,QADOH30P,ACTIVE,Doha Cfs,DEPOT
0ZNTET79URA7J,QAUMSUD,ACTIVE,Al Udeid,CUSTOMER LOCATION
1LRVN0WB66TTQ,,INACTIVE,Gelsenkirchen-Buer,TO BE UPDATED
3289748329339,DKPAO30P,ACTIVE,Carrier Tansicold Scandinavia As,DEPOT
IXP8LQRUC1IJM,CN5H2B3,ACTIVE,Taicang Container Terminal North 3,TERMINAL
IVUOE7APTWHHZ,ZAPLZZA,ACTIVE,Zacpak,DEPOT
I4H51WQWU70AX,BRA4AOL,ACTIVE,OCEANIC LOG SERVICOS RETROPORTUARIO,DEPOT
2MG9J60IZ3PFJ,USNOLUP,ACTIVE,New Orleans UPRR Avondale Ramp,RAIL TERMINAL
3FLHHON1J59FD,AOLAD5M,ACTIVE,SOPORTOS,TERMINAL
3KVBXPFY3B39G,CNXIMSY,ACTIVE,Xiamen Songyu Container Terminal,TERMINAL
PMOPSWGP1BZ4U,INCOKGC,ACTIVE,Greencon Deveoplers Container yard,DEPOT
3F6QFZBMPOLI8,CNHUPJS2,ACTIVE,Huangpu Jisi(Xinsha) Terminal,BARGE TERMINAL
18CMOBKGGBS49,INBOM05,INACTIVE,Mumbai Jasai Yard India,DEPOT
2UE13EFNK5J1A,USBW201,INACTIVE,VANAR rail junction,RAIL TERMINAL
0X53GXQ397C73,,INACTIVE,Myrtle      Ms,TO BE UPDATED
152W5EU4PE2RJ,JPNGO01,ACTIVE,Nagoya Off Dock Depot,DEPOT
7990179158743,CNTSK30P,ACTIVE,Zhanjiang,TERMINAL
9113993108791,VEBQM30P,ACTIVE,ASESORES INTEGRALES TRIBUTARIOS,DEPOT
3AJJZSF58KIFL,CNCNQRS,ACTIVE,Chongqing TuanJieCun Railwy Station,RAIL TERMINAL
10OXKHJH6Q3JZ,SGSIN22,INACTIVE,Sin Cy,TO BE UPDATED
3T055CVE0UMBB,CNMAWLS,INACTIVE,Luxmark Shipping Company Mawan,BARGE TERMINAL
ZH8VRWKKVFEQQ,NGVU2CL,ACTIVE,Clarion Shipping West Africa Ltd.,DEPOT
0A2LNZ4HN3BM0,CNSJ8NY,ACTIVE,"Nanyang Int'l Shipping Ltd, Basou",BARGE TERMINAL
SQBUTXZWJRNJI,GTTGZOR,ACTIVE,Orelca Puerto Quetzal,DEPOT
3B2T5T0YYR2BJ,INJHTBT,INACTIVE,Bay Container Terminal,TERMINAL
1MLH24ZTU8HVJ,,INACTIVE,E Moline,TO BE UPDATED
0Z21QEQSX5JKW,RUVLVUN,ACTIVE,Vladivostok Container Terminal,TERMINAL
MBV0ZVJTVOGJ9,FRBGLDB,ACTIVE,DECOR BORDEAUX,RAIL TERMINAL
1OHXP5DZTQMPR,USNWKRE,INACTIVE,Resources Trm And Whse,CUSTOMER LOCATION
ZWXNCXDMJZ8NU,USDALDM,ACTIVE,KCS Dallas Metro - Wylie Ramp,RAIL TERMINAL
2DOWF09A433H2,NGON1PT,ACTIVE,Onne Port Terminal,TERMINAL
27OHI9Z0X0RQG,CNSGHBL,ACTIVE,Bright Logistics (shanghai) Co. Ltd,DEPOT
4393213072043,ESBCN30P,ACTIVE,TRANS-PORTS BARCELONA,DEPOT
1YWRC3JTO1I7Z,USMEMMT,INACTIVE,Memphis Metro Transportaion,TERMINAL
2748XA5059H62,DESMCM1,INACTIVE,Sembach Military Depot,DEPOT
SKQWQTRM0BMXL,GBLPLEA,ACTIVE,Eagle Containers,DEPOT
2PVHTXQ3QC0UK,AUFRETM,ACTIVE,Fremantle DPW Terminal,TERMINAL
H44TTYXKUFH1I,USMIKMI,INACTIVE,Miami Intl Freight Solution,CUSTOMER LOCATION
0U4IEL34DYF7I,CNZGSSW,INACTIVE,ZhongShan Sinoway Shipping Ltd,BARGE TERMINAL
0U05URMICJ108,COBUNBG,ACTIVE,BGP Container & Logistics S.A.,DEPOT
3HXJ115O39MRI,,INACTIVE,Sarroca De Lerida,TO BE UPDATED
0DTPV4D5RUHA4,DENHATM,INACTIVE,Nordenham Terminal,TERMINAL
2DOL92U5MFUPG,ZAP1R05,INACTIVE,Silicon Smelters,DEPOT
7577780358297,USRUU30P,INACTIVE,Panalpina Detroit,CUSTOMER LOCATION
7242884578762,USCHS37P,INACTIVE,Becton Dickinson Vacutainer,CUSTOMER LOCATION
1BWUZXPT0H9J2,BEANTCCA,INACTIVE,Cca,DEPOT
XPBHEF4YF1F2D,AULSTTM,ACTIVE,Qube Ports Bell Bay,TERMINAL
04DYGE4DY4N30,NZAKLS01,INACTIVE,SCS Auckland,DEPOT
0075523275917,JPWAK30P,ACTIVE,Wakayama,TERMINAL
3P1XUKCN73XI6,CNTSTTM,INACTIVE,Qingdao Terminal,TERMINAL
2976823920839,USCHS34P,ACTIVE,CONTAINER MAINTENANCE CORPORATION,DEPOT
313DI0QUI7W07,IDBEL07,ACTIVE,Masaji Tatanan Container - Belawan,DEPOT
1EDULWZ2J36GV,,INACTIVE,Minos C.A. (Talleres Navales E Indu,TO BE UPDATED
KQZMKI7VEJQYI,INFARCT,ACTIVE,CONTAINER TERMINAL FARIDABAD DELHI,RAIL TERMINAL
0E5OFGFPFOT8F,ITGOATS,ACTIVE,Terminal Messina,DEPOT
J5GUYZ1RQOHYX,ILASDDM,ACTIVE,Dummy Depot Ashdod,DEPOT
1PV4BYCUD5P4I,KGFTQRR,ACTIVE,Rail Terminal Alamedin,RAIL TERMINAL
0T1B7LMTCQLBZ,USMKCSF,ACTIVE,BNSF Railroad,RAIL TERMINAL
274EVXC98QJBW,DKODEPT,INACTIVE,Odense Port Terminal,TERMINAL
1WPYE02LPZNGF,,INACTIVE,Fayetteville Nc,TO BE UPDATED
00KKZ5QDAR1AS,GBNSH01,ACTIVE,"North Sheilds, Twining & Co",CUSTOMER LOCATION
3FR1FVFMKHE7A,CNCGZTM,ACTIVE,Changzhou Lu'anzhou Terminal,TERMINAL
0KERPVS0XU5J8,USXBOBN,ACTIVE,Barstow BNSF Ramp,RAIL TERMINAL
0ZB90BZNDJFJZ,,INACTIVE,Indian Lake Estat,TO BE UPDATED
1SC3ZUI5L2FWG,CRBAOCO,ACTIVE,Cotrosa,DEPOT
3NNY0GZNMMD8F,,INACTIVE,N Bayshore,TO BE UPDATED
0NK2WG3XB91OO,ITSALPT,ACTIVE,SALERNO SCT Salerno Container Termi,TERMINAL
3RSH1LPF37JPB,USRGOSF,INACTIVE,Atsf-Hoosier Lift,RAIL TERMINAL
3N26EIBXOIOY0,GBFXS06,ACTIVE,"FELIXSTOWE, ELDAPOINT",CUSTOMER LOCATION
2EXIOE2YU6866,CNYPUNY,ACTIVE,Yangpu Nanyang Int'l Shipping Ltd,BARGE TERMINAL
LCBMYFZCOODSP,NLROTSC,INACTIVE,Star Container Services MVII,DEPOT
0PQJIG1P0OQW8,IDBTITM,ACTIVE,Batam Island Terminal,TERMINAL
CMKWDLBYSVL9R,BRSFIVB,ACTIVE,VBR LOGISTICA REUSE DEPOT,DEPOT
3623097736213,TRHAY30P,ACTIVE,MERSIN BORUSAN PLS DO NOT USE,TERMINAL
009Z66QP3EYRJ,USMIACT,INACTIVE,Miami Carotrans Carolina Freight,CONTAINER FREIGHT STATION
0ZV1EZ63WX0U6,,INACTIVE,Muelheim (A.D. Ruhr),TO BE UPDATED
11I9IU6850R5R,,INACTIVE,Skinnskatteberg,TO BE UPDATED
0KEJMX0UGFSJI,NAWIN01,ACTIVE,Transworld Cargo Pty LTD,DEPOT
1GF48XE9UGS3K,NOHT0TM,INACTIVE,Sanddessjoeen Terminal,TERMINAL
01NVRLG069COU,AUFREBO,ACTIVE,F.Baguley & Co.,DEPOT
9HS26DSSVKXQ5,AUSYDHU,ACTIVE,HUTCHISON SYDNEY PORT,TERMINAL
3K9DILXHDWUTV,THBKKEK,ACTIVE,Thai Engkong Lat Krabang,DEPOT
14V4EYCD5Z3K5,MS2XDTM,ACTIVE,Little Bay Terminal,TERMINAL
0N01JUJDZT0FZ,IDJKT06,ACTIVE,Jakarta- Godown005 Overbrengen Utc,TERMINAL
0UE5T2JLT8VZ4,CNFUSGT,ACTIVE,Fuyong Goldtop Shipping Limited,BARGE TERMINAL
2W8HF730T25RE,USPEVHY,ACTIVE,Port Everglades - Hyde Terminal,TERMINAL
0RINN0ZXL7B22,ITGOA09,ACTIVE,Genoa Rebora Terminal,TERMINAL
2D4WYMCMMIYRJ,GBSFD02,ACTIVE,"SHEFFIELD, NEWELL N WRIGHT",DEPOT
0HXL9YOHA3JIF,CNHUPSL,INACTIVE,Huangpu Terminal,TERMINAL
0VHZ3197WSGVL,INCCUBL,ACTIVE,BALMER LAWRIE and CO LTD,CUSTOMER LOCATION
3JPG80SU1JSU9,FRLEHGMP,INACTIVE,Pls use FRLEH05,TERMINAL
2MPPFLT1MV6W4,SEGOT18,INACTIVE,Goteborgs Container Depa,TERMINAL
1PHEN4E5NO61X,INKTURT,ACTIVE,ICD Kota,TERMINAL
2KENE976E1XAV,NOANDTM,INACTIVE,Andenes Terminal,TERMINAL
EQ1YXZ6UJXLMU,MXALTCG,ACTIVE,CONTENEDORES DEL GOLFO,DEPOT
2QMJGLFFQKGLT,HNRNA01,ACTIVE,Rio Nance Depot,DEPOT
25794QXBTNN9B,,INACTIVE,W Jordan,TO BE UPDATED
GGWL6RNBMOELO,GTPBACO,ACTIVE,Consersa Puerto Barrios,DEPOT
4456197132569,DEMAI30P,INACTIVE,WINCANTON RHENANIA MAINZ,DEPOT
1DJWDA412IB27,,INACTIVE,Rennies Cntr Depot,DEPOT
16UKU9H41JXGJ,TRHAYSD,ACTIVE,REYSAS DEPOPLS DO NOT USE,RAIL TERMINAL
07K3DH9LFGXMK,INKNMPR,ACTIVE,PRAGATI CONTAINER REPAIR & LOGIST,DEPOT
2TAJIDDIDFBSV,HKHKGGW1,ACTIVE,Hongkong/Csl B  Gws1,DEPOT
0GPNKJZ76PYTA,,INACTIVE,Recklinghausen-Mitte,TO BE UPDATED
2QYPBWMZT5906,CNYATZJ,ACTIVE,Yantian CIMC Depot,DEPOT
1GUMMII2AG8HG,DEBRER15,INACTIVE,Addicks & Kreye Holding GmbH,DEPOT
0TKM0HC7VATLP,MXVERTM,ACTIVE,Veracruz Terminal,TERMINAL
1ZE757E20GM06,GBHUL05,ACTIVE,AB CONTAINERS LTD,CUSTOMER LOCATION
7704003601197,USDET30P,INACTIVE,Reliable Transp Specialists Inc.,DEPOT
06AS7H0MDH41T,KZAKTRR,ACTIVE,Container Yard Aktobe,RAIL TERMINAL
MCWXUYCHRKT91,CNKWALI,INACTIVE,LI,BARGE TERMINAL
0O3KU3K55642X,USMEMCO,INACTIVE,"Comtrak, Inc.",DEPOT
39FIUZMXJEPA7,SADAMCT,INACTIVE,Dammam City,CUSTOMER LOCATION
31DADVX6GCM56,UGKLA03,ACTIVE,Kampala Transmi,DEPOT
ABTVBV4DVX4LV,CNWHAWD,ACTIVE,Weihai Waidian Service,BARGE TERMINAL
1CQ76NBP0I9E6,DEBIE03,INACTIVE,K N only Gebr. Monkemoller,DEPOT
378PGMBG3BQM7,GBGRY02,ACTIVE,"Grays, Seabourne",DEPOT
2901620670642,AUSYD40P,ACTIVE,Tyne St Peters Container Park,DEPOT
2HIU90675NFCU,CRSJOSM,INACTIVE,San Jose/Seaboard Marine,TO BE UPDATED
YVZEKQ8Q1V76S,INLT4KM,ACTIVE,Kishan Marine Yard,DEPOT
3TF27BTBZML1Y,MANADTM,ACTIVE,Nador Terminal,TERMINAL
2QTS1OOD4WS5B,,INACTIVE,San Giorgio Manferrato,TO BE UPDATED
2G8ILQ7KW182W,NOAAGTM,INACTIVE,Aagotnes Terminal,TERMINAL
TIKRHP12BJAPI,INCCUAL,ACTIVE,Allcargo Logistics Limited Kolkata,CONTAINER FREIGHT STATION
1H42IZ12W0NEN,PACLOFF,INACTIVE,Colon Free Zone,CUSTOMER LOCATION
NQCAYUIMUAQPB,AUBNEBC,ACTIVE,Brisbane Container Terminals,TERMINAL
0IA3ZIKG1V237,GBGRY06,ACTIVE,"Grays, Lakeside",DEPOT
0819576033773,DEHAM36P,INACTIVE,PACKING CENTER HAMBURG GMBH,DEPOT
CHNMPHLBO21HU,CNJIXTM,INACTIVE,JIAXING INTERNATIONAL CONTAINER FEE,BARGE TERMINAL
2YCVLH2DW8C4B,SKDUN01,ACTIVE,Metrans Dunajska Streda,DEPOT
0ICFXB8NFLFUM,,INACTIVE,Kyroeskoski,TO BE UPDATED
QZB4RUXVKKT3Z,JPHBKTM,ACTIVE,Hibiki Container Terminal,TERMINAL
